date,region,type,label,score,tags,link
2025-08-30,unknown,NOISE_PULSE,"São Paulo Sub-20: Partidos, Resultados y Estadísticas",100.0,prestazioni,https://www.apwin.com/es/equipo/sao-paulo-futebol-clube-under-20/
2025-08-30,south-america,TRANSFER_SIGNAL,Campionato Under 18 - Fichajes 25/26,100.0,mercato|prestazioni|south-america|youth,https://www.transfermarkt.co/campionato-nazionale-under-18/transfers/wettbewerb/ITJ7
2025-08-30,unknown,PLAYER_BURST,Argentina gana en su debut en el Mundial Sub20,62.45,CONMEBOL|esordio|prestazioni|recente|youth,https://www.conmebol.com/noticias/argentina-gana-en-su-debut-en-el-mundial-sub20/
2025-08-30,unknown,NOISE_PULSE,"Flamengo, bicampeón de la Intercontinental Sub20",57.49,CONMEBOL|prestazioni|recente|youth,https://www.conmebol.com/noticias/flamengo-bicampeon-de-la-intercontinental-sub20/
2025-08-30,unknown,PLAYER_BURST,San Diego FC ficha al extremo Alex Mighten,28.2,esordio|mercato|prestazioni|recente|youth,https://www.sandiegofc.com/news/san-diego-fc-ficha-al-extremo-alex-mighten
2025-08-30,unknown,PLAYER_BURST,Colombia debuta con empate ante el líder Argentina en ...,21.1,CONMEBOL|esordio|prestazioni,https://espndeportes.espn.com/futbol/mundial/nota/_/id/14718484/seleccion-colombia-empata-argentina-sudamericano-sub-20
2025-08-30,unknown,NOISE_PULSE,Ceará vence Clássico-Rei pela Liga Ceará na Cidade Vozão,19.97,prestazioni|recente,https://www.cearasc.com/noticia/base-ceara-vence-classico-rei-pela-liga-ceara-na-c
2025-08-30,unknown,TRANSFER_SIGNAL,Fichaje de Kayke: Botafogo a Fortaleza,16.0,mercato|prestazioni|youth,https://www.transferfeed.com/es/fichajes/kayke-botafogo-fortaleza/16615073
2025-08-30,unknown,TRANSFER_SIGNAL,Fichaje de Ahmed Abdullahi: Sunderland a Angers SCO,14.8,mercato|youth,https://www.transferfeed.com/es/fichajes/ahmed-abdullahi-sunderland-angers-sco/16615152
2025-08-30,unknown,PLAYER_BURST,Triunfazo agónico de Uruguay en su debut en el ...,13.5,CONMEBOL|esordio,https://espndeportes.espn.com/futbol/nota/_/id/14709873/triunfazo-agonico-uruguay-debut-sudamericano-sub-20-ante-chile
2025-08-29,unknown,TRANSFER_SIGNAL,"Mercado de fichajes hoy en directo | Altas, bajas y última ...",100.0,CONMEBOL|mercato|prestazioni|youth,https://www.marca.com/futbol/mercado-fichajes/2025/02/03/67a06b747aeb1c2f7518122a-directo.html
2025-08-29,unknown,PLAYER_BURST,Liga MX: Futbol de Estufa rumbo al Apertura 2025,100.0,CONMEBOL|esordio|mercato|prestazioni|youth,https://espndeportes.espn.com/futbol/mexico/nota/_/id/15090382/liga-mx-futbol-estufa-apertura-2025-rumores-fichajes
2025-08-29,unknown,NOISE_PULSE,"Quatro jogadores do Sub-20, incluindo artilheiro da base ...",32.4,prestazioni,https://onefootball.com/pt-br/noticias/quatro-jogadores-do-sub-20-incluindo-artilheiro-da-base-passam-a-integrar-o-elenco-profissional-do-cruzeiro-39963763
2025-08-29,unknown,NOISE_PULSE,Jogadores convocados para o sul-americano masculino ...,32.4,CONMEBOL|prestazioni,https://www.olympics.com/pt/noticias/veja-jogadores-convocados-sul-americano-masculino-sub-20-futebol
2025-08-29,africa,NOISE_PULSE,La Coupe d'Afrique des Nations U20 CAF TotalEnergies ...,24.96,africa,https://www.cafonline.com/fr/coupe-dafrique-des-nations-u-20/news/la-coupe-d-afrique-des-nations-u20-caf-totalenergies-egypte-2025-devoile-son-dispositif-de-diffusion/
2025-08-29,africa,NOISE_PULSE,"Coupe d'Afrique des Nations U20 CAF TotalEnergies, Égypte ...",24.96,africa,https://www.cafonline.com/fr/coupe-dafrique-des-nations-u-20/news/coupe-d-afrique-des-nations-u20-caf-totalenergies-egypte-2025-le-programme-officiel-devoile/
2025-08-29,unknown,NOISE_PULSE,Morocco makes a winning start to the U20 AFCON!,19.0,prestazioni,https://foot-africa.com/en/news/morocco-makes-a-winning-start-to-the-u20-afcon-703205/
2025-08-29,unknown,NOISE_PULSE,CONVOCADO!! Gustavo Prado está na lista da Seleção ...,13.5,CONMEBOL|js-heavy,https://www.threads.com/@alexandreernst/post/DN3E8Lk3GC8/convocadogustavo-prado-est%C3%A1-na-lista-da-sele%C3%A7%C3%A3o-sub-20-que-de-1-a-9-de-setembro-
2025-08-29,unknown,NOISE_PULSE,La Sub 20 de Uruguay debutó en el Torneo de L'Alcudia ...,12.4,prestazioni,https://espndeportes.espn.com/futbol/mundial/nota/_/id/13939737/triunfo-uruguay-sub-20-elche-fabian-coito-torneo-lalcudia
2025-08-28,south-america,NOISE_PULSE,Copa Mundial Sub-20 - Lista de goleadores y asistentes,100.0,mercato|prestazioni|south-america,https://www.transfermarkt.co/copa-mundial-sub-20-de-2015/scorerliste/pokalwettbewerb/20WC/saison_id/2014/altersklasse//sort/age
2025-08-28,unknown,NOISE_PULSE,"Internacional U20: Partidos, Resultados y Estadísticas",100.0,prestazioni,https://www.apwin.com/es/equipo/sc-internacional-under-20/
2025-08-28,unknown,TRANSFER_SIGNAL,¿Cuál fue el mejor fichaje en el actual mercado invernal?,57.5,mercato|prestazioni|youth,https://espndeportes.espn.com/futbol/nota/_/id/13080088/mercado-fichajes-cual-ha-sido-el-mejor-traspaso-al-momento
2025-08-28,unknown,NOISE_PULSE,Mundial sub-20 2025: que jogadores podem reforçar a ...,40.3,CONMEBOL|mercato|prestazioni,https://www.olympics.com/pt/noticias/mundial-sub-20-2025-jogadores-podem-reforcar-selecao
2025-08-28,unknown,NOISE_PULSE,Estudo coloca três brasileiros entre os 20 melhores sub-20 ...,26.72,prestazioni|recente,https://www.gazetaesportiva.com/futebol/estudo-coloca-tres-brasileiros-entre-os-20-melhores-sub-20-do-mundo/
2025-08-28,unknown,NOISE_PULSE,Mundial sub-20 de futebol masculino 2025,25.5,segnali,https://www.olympics.com/pt/noticias/mundial-sub-20-futebol-masculino-2025-classificados-datas-local
2025-08-28,unknown,NOISE_PULSE,quem é o craque do brasileirão até o momento???,25.2,js-heavy|prestazioni,https://www.threads.com/@diariodetorcedor/post/DNzFWVWXgDA/quem-%C3%A9-o-craque-do-brasileir%C3%A3o-at%C3%A9-o-momentoarrascaeta-18-jogos-10-gols-e-10-ass
2025-08-28,unknown,TRANSFER_SIGNAL,Fichaje de Divin Mubama: Manchester City U21 a Stoke City,21.7,mercato|prestazioni|youth,https://www.transferfeed.com/es/fichajes/divin-mubama-manchester-city-u21-stoke-city/12361703
2025-08-28,unknown,TRANSFER_SIGNAL,Fichaje de Keimer Sandoval: Real Betis II a Crvena Zvezda,11.6,mercato|youth,https://www.transferfeed.com/es/fichajes/keimer-andres-sandoval-rodriguez-real-betis-ii-crvena-zvezda/10696374
2025-08-28,unknown,TRANSFER_SIGNAL,Delantero chileno sub 20 debutó con un hat-trick en Cuiabá,9.3,prestazioni,https://onefootball.com/pt-br/noticias/delantero-chileno-sub-20-debuto-con-un-hat-trick-en-cuiaba-llego-hace-dos-dias-a-brasil-41477997
2025-08-27,south-america,NOISE_PULSE,Campeonato Sudamericano Sub-20 - Lista de goleadores ...,100.0,CONMEBOL|mercato|prestazioni|south-america,https://www.transfermarkt.co/campeonato-sudamericano-sub-20-2025/scorerliste/pokalwettbewerb/2SAM/saison_id/2024/altersklasse//plus/1
2025-08-27,unknown,PLAYER_BURST,Los 39 mejores jugadores de 21 años o menos en el futbol ...,100.0,esordio|mercato|prestazioni|youth,https://espndeportes.espn.com/futbol/nota/_/id/14986580/mejores-jugadores-sub-21-futbol-mundial-premier-league-barcelona-psg
2025-08-27,unknown,NOISE_PULSE,"Paraguay Sub 20 Resultados, estadísticas y highlights",75.4,CONMEBOL|prestazioni|youth,https://espndeportes.espn.com/futbol/equipo/_/id/10296/paraguay-sub-20
2025-08-27,unknown,NOISE_PULSE,Sub-20: Ceará encara o Falcon/SE na estreia na Copa do ...,46.12,recente,https://www.cearasc.com/noticia/sub-20-ceara-encara-o-falconse-na-estreia-na-copa-
2025-08-27,unknown,PLAYER_BURST,El Sub 20 debutó con un triunfo y tres pinchas,35.0,esordio|prestazioni|youth,https://estudiantesdelaplata.com/el-sub-20-debuto-con-un-triunfo-y-tres-pinchas/
2025-08-27,unknown,NOISE_PULSE,Ituano venceu na estreia do Brasileiro Série B sub 20,29.8,prestazioni,https://ituanofc.com/noticias/ituano-venceu-na-estreia-do-brasileiro-serie-b-sub-20
